DEPTH,RHOB,spike,flat_line,cycle_skip,washed_out,impossible_value,flag_count,severity,well_name
0.0,-0.03,False,False,False,True,True,2,RED,F02-1
30.0,0.0,False,False,False,True,True,2,RED,F02-1
305.1,0.30453727,False,False,False,True,True,2,RED,F02-1
305.25,0.30469567,False,False,False,True,True,2,RED,F02-1
305.4,0.30485567,False,False,False,True,True,2,RED,F02-1
305.54998779,0.30501857,False,False,False,True,True,2,RED,F02-1
305.7,0.30518025,False,False,False,True,True,2,RED,F02-1
305.85,0.30533871,False,False,False,True,True,2,RED,F02-1
306.0,0.30549434,False,False,False,True,True,2,RED,F02-1
306.15,0.30564997,False,False,False,True,True,2,RED,F02-1
306.3,0.30580738,False,False,False,True,True,2,RED,F02-1
306.45001221,0.30596673,False,False,False,True,True,2,RED,F02-1
306.6,0.30612996,False,False,False,True,True,2,RED,F02-1
306.75,0.30629316,False,False,False,True,True,2,RED,F02-1
306.9,0.30645502,False,False,False,True,True,2,RED,F02-1
307.04998779,0.30661505,False,False,False,True,True,2,RED,F02-1
307.2,0.30677333,False,False,False,True,True,2,RED,F02-1
307.35,0.30693114,False,False,False,True,True,2,RED,F02-1
307.5,0.307089,False,False,False,True,True,2,RED,F02-1
307.65,0.3072468,False,False,False,True,True,2,RED,F02-1
307.8,0.30740464,False,False,False,True,True,2,RED,F02-1
307.95001221,0.30756241,False,False,False,True,True,2,RED,F02-1
308.1,0.30771977,False,False,False,True,True,2,RED,F02-1
308.25,0.30787644,False,False,False,True,True,2,RED,F02-1
308.4,0.3080329,False,False,False,True,True,2,RED,F02-1
308.54998779,0.30819011,False,False,False,True,True,2,RED,F02-1
308.7,0.30834848,False,False,False,True,True,2,RED,F02-1
308.85,0.30850816,False,False,False,True,True,2,RED,F02-1
309.0,0.30866906,False,False,False,True,True,2,RED,F02-1
309.15,0.30883014,False,False,False,True,True,2,RED,F02-1
309.3,0.30899113,False,False,False,True,True,2,RED,F02-1
309.45001221,0.30915204,False,False,False,True,True,2,RED,F02-1
309.6,0.30931264,False,False,False,True,True,2,RED,F02-1
309.75,0.30947295,False,False,False,True,True,2,RED,F02-1
309.9,0.30963287,False,False,False,True,True,2,RED,F02-1
310.04998779,0.30979234,False,False,False,True,True,2,RED,F02-1
310.2,0.30995104,False,False,False,True,True,2,RED,F02-1
310.35,0.31010959,False,False,False,True,True,2,RED,F02-1
310.5,0.31026906,False,False,False,True,True,2,RED,F02-1
310.65,0.31043002,False,False,False,True,True,2,RED,F02-1
310.8,0.31059346,False,False,False,True,True,2,RED,F02-1
310.95001221,0.31075948,False,False,False,True,True,2,RED,F02-1
311.1,0.31092644,False,False,False,True,True,2,RED,F02-1
311.25,0.3110925,False,False,False,True,True,2,RED,F02-1
311.4,0.31125665,False,False,False,True,True,2,RED,F02-1
311.54998779,0.31141791,False,False,False,True,True,2,RED,F02-1
311.7,0.31157571,False,False,False,True,True,2,RED,F02-1
311.85,0.31173185,False,False,False,True,True,2,RED,F02-1
312.0,0.31188828,False,False,False,True,True,2,RED,F02-1
312.15,0.31204554,False,False,False,True,True,2,RED,F02-1
312.3,0.3122046,False,False,False,True,True,2,RED,F02-1
312.45001221,0.31236449,False,False,False,True,True,2,RED,F02-1
312.6,0.31252471,False,False,False,True,True,2,RED,F02-1
312.75,0.31268385,False,False,False,True,True,2,RED,F02-1
312.9,0.31284064,False,False,False,True,True,2,RED,F02-1
313.04998779,0.31299591,False,False,False,True,True,2,RED,F02-1
313.2,0.31315058,False,False,False,True,True,2,RED,F02-1
313.35,0.313306,False,False,False,True,True,2,RED,F02-1
313.5,0.31346273,False,False,False,True,True,2,RED,F02-1
313.65,0.31361982,False,False,False,True,True,2,RED,F02-1
313.8,0.31377676,False,False,False,True,True,2,RED,F02-1
313.95001221,0.31393379,False,False,False,True,True,2,RED,F02-1
314.1,0.31409127,False,False,False,True,True,2,RED,F02-1
314.25,0.31424862,False,False,False,True,True,2,RED,F02-1
314.4,0.31440571,False,False,False,True,True,2,RED,F02-1
314.54998779,0.31456244,False,False,False,True,True,2,RED,F02-1
314.7,0.31471968,False,False,False,True,True,2,RED,F02-1
314.85,0.31487808,False,False,False,True,True,2,RED,F02-1
315.0,0.31503829,False,False,False,True,True,2,RED,F02-1
315.15,0.31519836,False,False,False,True,True,2,RED,F02-1
315.3,0.31535628,False,False,False,True,True,2,RED,F02-1
315.45001221,0.31551173,False,False,False,True,True,2,RED,F02-1
315.6,0.31566834,False,False,False,True,True,2,RED,F02-1
315.75,0.31582955,False,False,False,True,True,2,RED,F02-1
315.9,0.3159934,False,False,False,True,True,2,RED,F02-1
316.04998779,0.31615964,False,False,False,True,True,2,RED,F02-1
316.2,0.31632474,False,False,False,True,True,2,RED,F02-1
316.35,0.31648564,False,False,False,True,True,2,RED,F02-1
316.5,0.31664333,False,False,False,True,True,2,RED,F02-1
316.65,0.31679776,False,False,False,True,True,2,RED,F02-1
316.8,0.31695187,False,False,False,True,True,2,RED,F02-1
316.95001221,0.31710777,False,False,False,True,True,2,RED,F02-1
317.1,0.31726572,False,False,False,True,True,2,RED,F02-1
